year,prov,hh_inc,pop,urban,unemp
1926,Prince Edward Island,236.8,87,22.4,NA
1926,Nova Scotia,312.6,515,44.3,NA
1926,New Brunswick,284.2,396,31.8,NA
1926,Quebec,342,2603,59.6,NA
1926,Ontario,488.5,3164,59.6,NA
1926,Manitoba,442.9,639,44,NA
1926,Saskatchewan,411.2,821,30.2,NA
1926,Alberta,492.3,608,38,NA
1926,British Columbia,524.2,606,52,NA
1926,"Yukon, Northwest territories, Nunavut",NA,12,NA,NA
1926,Yukon,NA,4,NA,NA
1926,Northwest territories including Nunavut,NA,8,NA,NA
1926,All provinces,102.7,1068.6,12.8,NA
1926,"All provinces excluding Alberta, Saskatchewan and Newfoundland and Labrador",109.6,1212.8,13.6,NA
1927,Prince Edward Island,248,87,22.5,NA
1927,Nova Scotia,320.9,515,44.4,NA
1927,New Brunswick,282.7,398,31.8,NA
1927,Quebec,354.7,2657,60.3,NA
1927,Ontario,509.1,3219,59.9,NA
1927,Manitoba,399.5,651,44.2,NA
1927,Saskatchewan,421.4,841,30.5,NA
1927,Alberta,563.4,633,38,NA
1927,British Columbia,538,623,53,NA
1927,"Yukon, Northwest territories, Nunavut",NA,13,NA,NA
1927,Yukon,NA,4,NA,NA
1927,Northwest territories including Nunavut,NA,9,NA,NA
1927,All provinces,113.5,1088.7,12.9,NA
1927,"All provinces excluding Alberta, Saskatchewan and Newfoundland and Labrador",110.3,1236.6,13.8,NA
1928,Prince Edward Island,245.3,88,22.7,NA
1928,Nova Scotia,348.1,515,44.6,NA
1928,New Brunswick,301.1,401,31.7,NA
1928,Quebec,378.5,2715,61,NA
1928,Ontario,537.5,3278,60.2,NA
1928,Manitoba,463.6,664,44.5,NA
1928,Saskatchewan,440.8,862,30.8,NA
1928,Alberta,504,658,38,NA
1928,British Columbia,573.7,641,54,NA
1928,"Yukon, Northwest territories, Nunavut",NA,13,NA,NA
1928,Yukon,NA,4,NA,NA
1928,Northwest territories including Nunavut,NA,9,NA,NA
1928,All provinces,110.9,1110.1,13.1,NA
1928,"All provinces excluding Alberta, Saskatchewan and Newfoundland and Labrador",122.2,1262,14,NA
1929,Prince Edward Island,267.4,88,22.8,NA
1929,Nova Scotia,358.2,515,44.8,NA
1929,New Brunswick,306.2,404,31.7,NA
1929,Quebec,398.6,2772,61.7,NA
1929,Ontario,565.6,3334,60.5,NA
1929,Manitoba,431.8,677,44.7,NA
1929,Saskatchewan,290.5,883,31,NA
1929,Alberta,432.9,684,38,NA
1929,British Columbia,599.1,659,54.9,NA
1929,"Yukon, Northwest territories, Nunavut",NA,13,NA,NA
1929,Yukon,NA,4,NA,NA
1929,Northwest territories including Nunavut,NA,9,NA,NA
1929,All provinces,116.7,1130.8,13.3,NA
1929,"All provinces excluding Alberta, Saskatchewan and Newfoundland and Labrador",125.1,1286.5,14.2,NA
1930,Prince Edward Island,222.8,88,23,NA
1930,Nova Scotia,340.1,514,45,NA
1930,New Brunswick,287,406,31.6,NA
1930,Quebec,370,2825,62.4,NA
1930,Ontario,529.2,3386,60.8,NA
1930,Manitoba,403.5,689,44.9,NA
1930,Saskatchewan,247.6,903,31.3,NA
1930,Alberta,389.7,708,38,NA
1930,British Columbia,546.3,676,55.9,NA
1930,"Yukon, Northwest territories, Nunavut",NA,13,NA,NA
1930,Yukon,NA,4,NA,NA
1930,Northwest territories including Nunavut,NA,9,NA,NA
1930,All provinces,113.1,1150.1,13.5,NA
1930,"All provinces excluding Alberta, Saskatchewan and Newfoundland and Labrador",119.2,1309.4,14.4,NA
1931,Prince Edward Island,178.2,88,23.2,NA
1931,Nova Scotia,288.4,513,45.2,NA
1931,New Brunswick,243,408,31.6,NA
1931,Quebec,315.5,2874,63.1,NA
1931,Ontario,450.1,3432,61.1,NA
1931,Manitoba,305.9,700,45.1,NA
1931,Saskatchewan,149.7,922,31.6,NA
1931,Alberta,277.8,732,38.1,NA
1931,British Columbia,458.5,694,56.9,NA
1931,"Yukon, Northwest territories, Nunavut",NA,13,NA,NA
1931,Yukon,NA,4,NA,NA
1931,Northwest territories including Nunavut,NA,9,NA,NA
1931,All provinces,105.5,1167.3,13.7,NA
1931,"All provinces excluding Alberta, Saskatchewan and Newfoundland and Labrador",102.8,1329.9,14.6,NA
1932,Prince Edward Island,143.2,89,23.4,NA
1932,Nova Scotia,233.5,519,45.3,NA
1932,New Brunswick,190.2,414,31.6,NA
1932,Quebec,256.2,2925,63.1,NA
1932,Ontario,364,3473,61.1,NA
1932,Manitoba,266.1,705,45,NA
1932,Saskatchewan,151.5,924,31.7,NA
1932,Alberta,235.5,740,38.1,NA
1932,British Columbia,378.3,707,56.6,NA
1932,"Yukon, Northwest territories, Nunavut",NA,14,NA,NA
1932,Yukon,NA,4,NA,NA
1932,Northwest territories including Nunavut,NA,10,NA,NA
1932,All provinces,82.8,1184.5,13.6,NA
1932,"All provinces excluding Alberta, Saskatchewan and Newfoundland and Labrador",85.7,1349,14.5,NA
1933,Prince Edward Island,130.7,90,23.6,NA
1933,Nova Scotia,224.6,525,45.4,NA
1933,New Brunswick,178.1,419,31.5,NA
1933,Quebec,234.9,2972,63.1,NA
1933,Ontario,339.7,3512,61.2,NA
1933,Manitoba,239.3,708,44.9,NA
1933,Saskatchewan,119.7,926,31.8,NA
1933,Alberta,198.6,750,38.2,NA
1933,British Columbia,352.4,717,56.3,NA
1933,"Yukon, Northwest territories, Nunavut",NA,14,NA,NA
1933,Yukon,NA,4,NA,NA
1933,Northwest territories including Nunavut,NA,10,NA,NA
1933,All provinces,81.1,1200.6,13.5,NA
1933,"All provinces excluding Alberta, Saskatchewan and Newfoundland and Labrador",80.2,1367.3,14.4,NA
1934,Prince Edward Island,140,91,23.9,NA
1934,Nova Scotia,240.3,531,45.5,NA
1934,New Brunswick,190.9,423,31.5,NA
1934,Quebec,256.2,3016,63.2,NA
1934,Ontario,372.8,3544,61.3,NA
1934,Manitoba,265.8,709,44.8,NA
1934,Saskatchewan,149.8,928,32,NA
1934,Alberta,247,758,38.2,NA
1934,British Columbia,378.5,727,56.1,NA
1934,"Yukon, Northwest territories, Nunavut",NA,14,NA,NA
1934,Yukon,NA,4,NA,NA
1934,Northwest territories including Nunavut,NA,10,NA,NA
1934,All provinces,84.9,1214.9,13.4,NA
1934,"All provinces excluding Alberta, Saskatchewan and Newfoundland and Labrador",87.8,1383.2,14.3,NA
1935,Prince Edward Island,170.5,92,24.1,NA
1935,Nova Scotia,260.1,536,45.6,NA
1935,New Brunswick,205.4,428,31.5,NA
1935,Quebec,266.9,3057,63.2,NA
1935,Ontario,394.7,3575,61.3,NA
1935,Manitoba,268.2,710,44.7,NA
1935,Saskatchewan,184.8,930,32.1,NA
1935,Alberta,250.1,765,38.2,NA
1935,British Columbia,407.2,736,55.8,NA
1935,"Yukon, Northwest territories, Nunavut",NA,16,NA,NA
1935,Yukon,NA,5,NA,NA
1935,Northwest territories including Nunavut,NA,11,NA,NA
1935,All provinces,83.8,1228.4,13.3,NA
1935,"All provinces excluding Alberta, Saskatchewan and Newfoundland and Labrador",89,1398.3,14.2,NA
1936,Prince Edward Island,179.2,93,24.4,NA
1936,Nova Scotia,280.4,543,45.7,NA
1936,New Brunswick,226.6,433,31.5,NA
1936,Quebec,284.8,3099,63.2,NA
1936,Ontario,410.8,3606,61.4,NA
1936,Manitoba,289.2,711,44.6,NA
1936,Saskatchewan,179.6,931,32.2,NA
1936,Alberta,252.7,773,38.3,NA
1936,British Columbia,433.8,745,55.5,NA
1936,"Yukon, Northwest territories, Nunavut",NA,16,NA,NA
1936,Yukon,NA,5,NA,NA
1936,Northwest territories including Nunavut,NA,11,NA,NA
1936,All provinces,89.9,1241.9,13.2,NA
1936,"All provinces excluding Alberta, Saskatchewan and Newfoundland and Labrador",92.1,1413.5,14.1,NA
1937,Prince Edward Island,210.7,93,24.6,NA
1937,Nova Scotia,314.3,549,45.8,NA
1937,New Brunswick,252.4,437,31.4,NA
1937,Quebec,313.4,3141,63.2,NA
1937,Ontario,458.7,3637,61.5,NA
1937,Manitoba,367.2,715,44.5,NA
1937,Saskatchewan,152.7,922,32.4,NA
1937,Alberta,334.5,776,38.3,NA
1937,British Columbia,477.1,759,55.3,NA
1937,"Yukon, Northwest territories, Nunavut",NA,16,NA,NA
1937,Yukon,NA,5,NA,NA
1937,Northwest territories including Nunavut,NA,11,NA,NA
1937,All provinces,106.6,1255.9,13.1,NA
1937,"All provinces excluding Alberta, Saskatchewan and Newfoundland and Labrador",99.5,1428.5,14,NA
1938,Prince Edward Island,198,94,24.9,NA
1938,Nova Scotia,310.9,555,46,NA
1938,New Brunswick,242.7,442,31.4,NA
1938,Quebec,309.6,3183,63.3,NA
1938,Ontario,458.2,3672,61.5,NA
1938,Manitoba,322.4,720,44.4,NA
1938,Saskatchewan,205.4,914,32.5,NA
1938,Alberta,354.3,781,38.4,NA
1938,British Columbia,480,775,55,NA
1938,"Yukon, Northwest territories, Nunavut",NA,16,NA,NA
1938,Yukon,NA,5,NA,NA
1938,Northwest territories including Nunavut,NA,11,NA,NA
1938,All provinces,100,1270.5,13.1,NA
1938,"All provinces excluding Alberta, Saskatchewan and Newfoundland and Labrador",103.9,1444.1,13.9,NA
1939,Prince Edward Island,219,94,25.1,NA
1939,Nova Scotia,317.4,561,46.1,NA
1939,New Brunswick,253.9,447,31.4,NA
1939,Quebec,319,3230,63.3,NA
1939,Ontario,475.5,3708,61.6,NA
1939,Manitoba,335.7,726,44.3,NA
1939,Saskatchewan,277.9,906,32.7,NA
1939,Alberta,342.1,786,38.4,NA
1939,British Columbia,484.8,792,54.7,NA
1939,"Yukon, Northwest territories, Nunavut",NA,17,NA,NA
1939,Yukon,NA,5,NA,NA
1939,Northwest territories including Nunavut,NA,12,NA,NA
1939,All provinces,90.9,1286.3,13,NA
1939,"All provinces excluding Alberta, Saskatchewan and Newfoundland and Labrador",101.9,1461.1,13.8,NA
1940,Prince Edward Island,226.3,95,25.4,NA
1940,Nova Scotia,362.6,569,46.2,NA
1940,New Brunswick,290.8,452,31.4,NA
1940,Quebec,351.4,3278,63.3,NA
1940,Ontario,544.2,3747,61.7,NA
1940,Manitoba,379.4,728,44.2,NA
1940,Saskatchewan,290.3,900,32.8,NA
1940,Alberta,400.3,790,38.5,NA
1940,British Columbia,534.9,805,54.5,NA
1940,"Yukon, Northwest territories, Nunavut",NA,17,NA,NA
1940,Yukon,NA,5,NA,NA
1940,Northwest territories including Nunavut,NA,12,NA,NA
1940,All provinces,107.2,1303.1,12.9,NA
1940,"All provinces excluding Alberta, Saskatchewan and Newfoundland and Labrador",118,1479.4,13.7,NA
1941,Prince Edward Island,235.9,95,25.6,NA
1941,Nova Scotia,427.9,578,46.3,NA
1941,New Brunswick,335.8,457,31.4,NA
1941,Quebec,417.6,3332,63.3,NA
1941,Ontario,660,3788,61.7,NA
1941,Manitoba,453.8,730,44.1,NA
1941,Saskatchewan,285.6,896,32.9,NA
1941,Alberta,413.7,796,38.5,NA
1941,British Columbia,620.2,818,54.2,NA
1941,"Yukon, Northwest territories, Nunavut",NA,17,NA,NA
1941,Yukon,NA,5,NA,NA
1941,Northwest territories including Nunavut,NA,12,NA,NA
1941,All provinces,140.3,1321.6,12.8,NA
1941,"All provinces excluding Alberta, Saskatchewan and Newfoundland and Labrador",149.2,1499.5,13.6,NA
1942,Prince Edward Island,302.6,90,25.6,NA
1942,Nova Scotia,522,591,47,NA
1942,New Brunswick,397.8,464,32.4,NA
1942,Quebec,489.9,3390,63.6,NA
1942,Ontario,766,3884,62.6,NA
1942,Manitoba,558.3,724,45.4,NA
1942,Saskatchewan,602.3,848,32.7,NA
1942,Alberta,659.1,776,39.4,NA
1942,British Columbia,739.4,870,55.6,NA
1942,"Yukon, Northwest territories, Nunavut",NA,17,NA,NA
1942,Yukon,NA,5,NA,NA
1942,Northwest territories including Nunavut,NA,12,NA,NA
1942,All provinces,152.1,1355.8,13,NA
1942,"All provinces excluding Alberta, Saskatchewan and Newfoundland and Labrador",168.6,1533.4,13.8,NA
1943,Prince Edward Island,351.3,91,25.5,NA
1943,Nova Scotia,591.2,606,47.8,NA
1943,New Brunswick,458.2,463,33.4,NA
1943,Quebec,539.7,3457,64,NA
1943,Ontario,842,3915,63.5,NA
1943,Manitoba,597.4,723,46.6,NA
1943,Saskatchewan,479.8,838,32.4,NA
1943,Alberta,578.1,785,40.4,NA
1943,British Columbia,835.8,900,57,NA
1943,"Yukon, Northwest territories, Nunavut",NA,17,NA,NA
1943,Yukon,NA,5,NA,NA
1943,Northwest territories including Nunavut,NA,12,NA,NA
1943,All provinces,163.2,1374.1,13.3,NA
1943,"All provinces excluding Alberta, Saskatchewan and Newfoundland and Labrador",182.5,1552.9,14,NA
1944,Prince Edward Island,382.6,91,25.4,NA
1944,Nova Scotia,635.6,611,48.5,NA
1944,New Brunswick,494.5,461,34.5,NA
1944,Quebec,559.4,3500,64.3,NA
1944,Ontario,883.3,3963,64.4,NA
1944,Manitoba,649.9,727,47.9,NA
1944,Saskatchewan,729.6,836,32.2,NA
1944,Alberta,723,808,41.3,NA
1944,British Columbia,837.8,932,58.4,NA
1944,"Yukon, Northwest territories, Nunavut",NA,17,NA,NA
1944,Yukon,NA,5,NA,NA
1944,Northwest territories including Nunavut,NA,12,NA,NA
1944,All provinces,160.2,1391.4,13.5,NA
1944,"All provinces excluding Alberta, Saskatchewan and Newfoundland and Labrador",179,1572.4,14.2,NA
1945,Prince Edward Island,429.8,92,25.4,NA
1945,Nova Scotia,659.6,619,49.2,NA
1945,New Brunswick,547,467,35.5,NA
1945,Quebec,574.9,3560,64.6,NA
1945,Ontario,910.3,4000,65.3,NA
1945,Manitoba,675.1,727,49.1,NA
1945,Saskatchewan,596.9,833,31.9,NA
1945,Alberta,698.8,808,42.2,NA
1945,British Columbia,872.2,949,59.8,NA
1945,"Yukon, Northwest territories, Nunavut",NA,17,NA,NA
1945,Yukon,NA,5,NA,NA
1945,Northwest territories including Nunavut,NA,12,NA,NA
1945,All provinces,152.6,1410.3,13.8,NA
1945,"All provinces excluding Alberta, Saskatchewan and Newfoundland and Labrador",173.5,1592.7,14.3,NA
1946,Prince Edward Island,456.4,94,25.3,NA
1946,Nova Scotia,736.8,608,50,NA
1946,New Brunswick,614.7,478,36.5,NA
1946,Quebec,612.7,3629,64.9,NA
1946,Ontario,919.4,4093,66.2,NA
1946,Manitoba,784.1,727,50.4,NA
1946,Saskatchewan,722.4,833,31.6,NA
1946,Alberta,868.1,803,43.2,NA
1946,British Columbia,921.8,1003,61.2,NA
1946,"Yukon, Northwest territories, Nunavut",NA,24,NA,NA
1946,Yukon,NA,8,NA,NA
1946,Northwest territories including Nunavut,NA,16,NA,NA
1946,All provinces,156.6,1443.9,14.1,NA
1946,"All provinces excluding Alberta, Saskatchewan and Newfoundland and Labrador",171.7,1628.7,14.6,NA
1947,Prince Edward Island,469.1,94,25.3,NA
1947,Nova Scotia,751.3,615,50.7,NA
1947,New Brunswick,642.8,488,37.6,NA
1947,Quebec,702.6,3710,65.2,NA
1947,Ontario,1016.1,4176,67.1,NA
1947,Manitoba,851.2,739,51.6,NA
1947,Saskatchewan,733.5,836,31.4,NA
1947,Alberta,944.3,825,44.1,NA
1947,British Columbia,1029.7,1044,62.5,NA
1947,"Yukon, Northwest territories, Nunavut",NA,24,NA,NA
1947,Yukon,NA,8,NA,NA
1947,Northwest territories including Nunavut,NA,16,NA,NA
1947,All provinces,184.7,1475.1,14.3,NA
1947,"All provinces excluding Alberta, Saskatchewan and Newfoundland and Labrador",202.3,1663.2,14.8,NA
1948,Prince Edward Island,516.5,93,25.2,NA
1948,Nova Scotia,761.9,625,51.5,NA
1948,New Brunswick,695.9,498,38.6,NA
1948,Quebec,789.5,3788,65.6,NA
1948,Ontario,1138,4275,68,NA
1948,Manitoba,1000.6,746,52.9,NA
1948,Saskatchewan,895.8,838,31.1,NA
1948,Alberta,1094.2,854,45.1,NA
1948,British Columbia,1157.9,1082,63.9,NA
1948,"Yukon, Northwest territories, Nunavut",NA,24,NA,NA
1948,Yukon,NA,8,NA,NA
1948,Northwest territories including Nunavut,NA,16,NA,NA
1948,All provinces,221,1509.5,14.7,NA
1948,"All provinces excluding Alberta, Saskatchewan and Newfoundland and Labrador",239.8,1701.7,15,NA
1949,Newfoundland and Labrador,498.2,345,42,NA
1949,Prince Edward Island,563.1,94,25.2,NA
1949,Nova Scotia,803,629,52.2,NA
1949,New Brunswick,710.3,508,39.6,NA
1949,Quebec,803.2,3882,65.9,NA
1949,Ontario,1190.1,4378,68.9,NA
1949,Manitoba,991,757,54.1,NA
1949,Saskatchewan,917.9,832,30.9,NA
1949,Alberta,1067.2,885,46,NA
1949,British Columbia,1191.5,1113,65.3,NA
1949,"Yukon, Northwest territories, Nunavut",NA,24,NA,NA
1949,Yukon,NA,8,NA,NA
1949,Northwest territories including Nunavut,NA,16,NA,NA
1949,All provinces,242.3,1501.4,15,NA
1949,"All provinces excluding Alberta, Saskatchewan and Newfoundland and Labrador",262.4,1677.6,15.3,NA
1950,Newfoundland and Labrador,520,351,41.1,6.2
1950,Prince Edward Island,571.7,96,25.1,5.4
1950,Nova Scotia,836.8,638,52.9,5.5
1950,New Brunswick,752.5,512,40.7,6.4
1950,Quebec,846.5,3969,66.2,3.8
1950,Ontario,1263.8,4471,69.8,2.5
1950,Manitoba,1014.9,768,55.4,3
1950,Saskatchewan,827.6,833,30.6,1.6
1950,Alberta,1064,913,46.9,2.7
1950,British Columbia,1281.5,1137,66.7,4.4
1950,"Yukon, Northwest territories, Nunavut",NA,24,NA,NA
1950,Yukon,NA,8,NA,NA
1950,Northwest territories including Nunavut,NA,16,NA,NA
1950,All provinces,259.1,1535.4,15.4,1.7
1950,"All provinces excluding Alberta, Saskatchewan and Newfoundland and Labrador",285.4,1715.5,15.7,1.5
1951,Newfoundland and Labrador,567.3,361,42.8,3.4
1951,Prince Edward Island,649.9,98,25.1,3
1951,Nova Scotia,896.8,643,53.7,3
1951,New Brunswick,827.7,516,41.7,3.6
1951,Quebec,953.9,4056,66.5,2.5
1951,Ontario,1421.4,4598,70.7,1.7
1951,Manitoba,1161.2,776,56.6,2.1
1951,Saskatchewan,1225.7,832,30.4,1.1
1951,Alberta,1354.8,939,47.9,1.9
1951,British Columbia,1410.1,1165,68.1,3.5
1951,"Yukon, Northwest territories, Nunavut",1181.1,25,NA,NA
1951,Yukon,NA,9,28.5,NA
1951,Northwest territories including Nunavut,NA,16,17,NA
1951,All provinces,312.5,1577.3,15.7,0.9
1951,"All provinces excluding Alberta, Saskatchewan and Newfoundland and Labrador",321.3,1761.8,15.8,0.7
1952,Newfoundland and Labrador,603.1,375,43.2,3.6
1952,Prince Edward Island,774,100,26.2,3.2
1952,Nova Scotia,998.1,654,54.4,3.3
1952,New Brunswick,855,527,42.5,3.8
1952,Quebec,1032.6,4183,67.2,3.2
1952,Ontario,1504.9,4802,71.8,2.3
1952,Manitoba,1211.2,799,57.3,2.5
1952,Saskatchewan,1370.1,845,31.6,1.3
1952,Alberta,1399.9,977,49.6,2.2
1952,British Columbia,1519.9,1209,69.2,3.8
1952,"Yukon, Northwest territories, Nunavut",1443.6,25,NA,NA
1952,Yukon,NA,9,27,NA
1952,Northwest territories including Nunavut,NA,16,18.3,NA
1952,All provinces,322.6,1641.2,15.6,0.8
1952,"All provinces excluding Alberta, Saskatchewan and Newfoundland and Labrador",331.5,1832.8,15.8,0.6
1953,Newfoundland and Labrador,651.9,384,43.6,4.4
1953,Prince Edward Island,640,101,27.3,3.8
1953,Nova Scotia,1037.5,664,55.2,3.9
1953,New Brunswick,862.3,533,43.4,4.5
1953,Quebec,1075.2,4281,67.9,3.3
1953,Ontario,1553,4956,72.8,2.2
1953,Manitoba,1201.3,810,58,2.5
1953,Saskatchewan,1250.7,863,32.8,1.3
1953,Alberta,1415,1016,51.4,2.2
1953,British Columbia,1554.2,1253,70.2,4
1953,"Yukon, Northwest territories, Nunavut",1574.1,25,NA,NA
1953,Yukon,NA,9,25.5,NA
1953,Northwest territories including Nunavut,NA,16,19.6,NA
1953,All provinces,335.2,1689.5,15.6,1.1
1953,"All provinces excluding Alberta, Saskatchewan and Newfoundland and Labrador",356.3,1887.2,15.8,0.8
1954,Newfoundland and Labrador,670.9,396,43.9,5.2
1954,Prince Edward Island,668.7,101,28.4,4.5
1954,Nova Scotia,1064.4,674,55.9,4.7
1954,New Brunswick,888.6,541,44.2,5.5
1954,Quebec,1080,4402,68.6,5.2
1954,Ontario,1547,5130,73.8,3.9
1954,Manitoba,1164.9,825,58.7,3.3
1954,Saskatchewan,891.9,874,34.1,1.8
1954,Alberta,1285,1061,53.1,2.9
1954,British Columbia,1553.2,1299,71.3,5.2
1954,"Yukon, Northwest territories, Nunavut",1659,27,NA,NA
1954,Yukon,NA,10,24.1,NA
1954,Northwest territories including Nunavut,NA,17,20.9,NA
1954,All provinces,316.2,1746.4,15.5,1.2
1954,"All provinces excluding Alberta, Saskatchewan and Newfoundland and Labrador",342.8,1950.8,15.9,0.8
1955,Newfoundland and Labrador,703.1,407,44.3,5.1
1955,Prince Edward Island,675.6,100,29.6,4.5
1955,Nova Scotia,1079,684,56.7,4.6
1955,New Brunswick,916.7,548,45,5.4
1955,Quebec,1106.3,4529,69.3,5.4
1955,Ontario,1617.3,5278,74.9,3.3
1955,Manitoba,1224.6,841,59.4,4.1
1955,Saskatchewan,1140.2,879,35.3,2.2
1955,Alberta,1368,1094,54.9,3.6
1955,British Columbia,1639.4,1347,72.3,3.8
1955,"Yukon, Northwest territories, Nunavut",1695.9,29,NA,NA
1955,Yukon,NA,11,22.6,NA
1955,Northwest territories including Nunavut,NA,18,22.2,NA
1955,All provinces,332.9,1799.2,15.5,1
1955,"All provinces excluding Alberta, Saskatchewan and Newfoundland and Labrador",366.9,2009.1,15.9,0.8
1956,Newfoundland and Labrador,764.9,416,44.6,4.7
1956,Prince Edward Island,860.6,99,30.7,4.1
1956,Nova Scotia,1139.1,695,57.4,4.3
1956,New Brunswick,988.1,556,45.8,5
1956,Quebec,1190.4,4641,70,4.4
1956,Ontario,1721.1,5423,75.9,2.5
1956,Manitoba,1361.7,850,60.1,2.9
1956,Saskatchewan,1296.4,881,36.6,1.6
1956,Alberta,1549,1126,56.6,2.6
1956,British Columbia,1740.3,1405,73.4,2.8
1956,"Yukon, Northwest territories, Nunavut",2150.8,31,NA,NA
1956,Yukon,NA,12,21.1,NA
1956,Northwest territories including Nunavut,NA,19,23.5,NA
1956,All provinces,339.4,1849,15.5,1.1
1956,"All provinces excluding Alberta, Saskatchewan and Newfoundland and Labrador",366.3,2064,15.9,1
1957,Newfoundland and Labrador,805.3,425,45.8,6.6
1957,Prince Edward Island,771.2,99,31,5.8
1957,Nova Scotia,1209.8,701,56.8,6
1957,New Brunswick,1015.2,563,46,6.9
1957,Quebec,1257.1,4786,70.9,5.2
1957,Ontario,1804.1,5668,76.2,3.5
1957,Manitoba,1359.2,863,60.8,3.4
1957,Saskatchewan,1113.5,882,37.9,1.8
1957,Alberta,1517.1,1169,58,3
1957,British Columbia,1803,1490,73.2,5
1957,"Yukon, Northwest territories, Nunavut",2149.7,31,NA,NA
1957,Yukon,NA,12,23.7,NA
1957,Northwest territories including Nunavut,NA,19,26.6,NA
1957,All provinces,364.6,1927.3,15.3,1.7
1957,"All provinces excluding Alberta, Saskatchewan and Newfoundland and Labrador",397.9,2150.4,15.8,1.3
1958,Newfoundland and Labrador,815.1,433,47,13.7
1958,Prince Edward Island,822.2,100,31.4,8.6
1958,Nova Scotia,1248.7,710,56.2,8.9
1958,New Brunswick,1052.7,572,46.1,10.3
1958,Quebec,1280.8,4915,71.7,7.7
1958,Ontario,1854.5,5835,76.5,5.6
1958,Manitoba,1478.4,877,61.6,5.4
1958,Saskatchewan,1224.4,894,39.1,2.9
1958,Alberta,1639.6,1211,59.3,4.8
1958,British Columbia,1782.5,1540,73.1,8.6
1958,"Yukon, Northwest territories, Nunavut",2019.3,33,NA,NA
1958,Yukon,NA,13,26.4,NA
1958,Northwest territories including Nunavut,NA,20,29.7,NA
1958,All provinces,367.7,1984.5,15.2,3.1
1958,"All provinces excluding Alberta, Saskatchewan and Newfoundland and Labrador",396.3,2214.1,15.8,2.6
1959,Newfoundland and Labrador,850.4,441,48.3,14.6
1959,Prince Edward Island,930.3,102,31.7,7.5
1959,Nova Scotia,1311,720,55.6,7.7
1959,New Brunswick,1105.9,583,46.2,9
1959,Quebec,1315.8,5035,72.6,6.8
1959,Ontario,1908.7,5985,76.8,4.6
1959,Manitoba,1526.3,892,62.4,4.2
1959,Saskatchewan,1250.4,908,40.4,2.3
1959,Alberta,1652.6,1252,60.6,3.7
1959,British Columbia,1850.3,1570,72.9,6.5
1959,"Yukon, Northwest territories, Nunavut",2023.2,34,NA,NA
1959,Yukon,NA,13,29.1,NA
1959,Northwest territories including Nunavut,NA,21,32.7,NA
1959,All provinces,361.9,2035.9,15.1,3.5
1959,"All provinces excluding Alberta, Saskatchewan and Newfoundland and Labrador",393.1,2271.8,15.8,3.2
1960,Newfoundland and Labrador,898,449,49.5,13.3
1960,Prince Edward Island,930.9,103,32.1,7.4
1960,Nova Scotia,1365.9,728,55,7.6
1960,New Brunswick,1160.6,589,46.4,8.8
1960,Quebec,1363.1,5152,73.4,8
1960,Ontario,1950.9,6127,77.1,5.6
1960,Manitoba,1578.1,908,63.1,5.6
1960,Saskatchewan,1400.3,916,41.7,3
1960,Alberta,1672.6,1296,62,4.9
1960,British Columbia,1878.4,1605,72.7,8.5
1960,"Yukon, Northwest territories, Nunavut",2002.1,36,NA,NA
1960,Yukon,NA,14,31.7,NA
1960,Northwest territories including Nunavut,NA,22,35.8,NA
1960,All provinces,360,2085.6,14.9,2.8
1960,"All provinces excluding Alberta, Saskatchewan and Newfoundland and Labrador",395.6,2327.3,15.7,2.4
1961,Newfoundland and Labrador,969,459,50.7,14.4
1961,Prince Edward Island,978.2,105,32.4,7.7
1961,Nova Scotia,1374.6,738,54.3,7.9
1961,New Brunswick,1146.1,599,46.5,9.3
1961,Quebec,1412.9,5268,74.3,8
1961,Ontario,1965,6248,77.3,5.7
1961,Manitoba,1496.6,923,63.9,6.1
1961,Saskatchewan,1132.9,926,43,3.2
1961,Alberta,1677.7,1335,63.3,5.3
1961,British Columbia,1880.5,1632,72.6,8.5
1961,"Yukon, Northwest territories, Nunavut",1867.6,38,NA,NA
1961,Yukon,NA,15,34.4,NA
1961,Northwest territories including Nunavut,NA,23,38.9,NA
1961,All provinces,355.4,2129.8,14.9,3
1961,"All provinces excluding Alberta, Saskatchewan and Newfoundland and Labrador",375.8,2376.7,15.7,2.7
1962,Newfoundland and Labrador,1002.5,469,51.4,12.6
1962,Prince Edward Island,1033.5,107,33.3,7.4
1962,Nova Scotia,1427.9,746,55.1,7.6
1962,New Brunswick,1190.9,605,47.3,8.8
1962,Quebec,1498.6,5381,75.1,6.6
1962,Ontario,2075.3,6362,77.9,4.4
1962,Manitoba,1662.5,937,64.5,5.2
1962,Saskatchewan,1556.4,931,44.2,2.7
1962,Alberta,1783.5,1373,64.4,4.5
1962,British Columbia,1959.8,1663,73.1,6.6
1962,"Yukon, Northwest territories, Nunavut",1829.6,40,NA,NA
1962,Yukon,NA,15,37,NA
1962,Northwest territories including Nunavut,NA,25,39.1,NA
1962,All provinces,367.4,2172.6,14.8,2.8
1962,"All provinces excluding Alberta, Saskatchewan and Newfoundland and Labrador",402.1,2424.2,15.6,2.5
1963,Newfoundland and Labrador,1061.1,477,52,11.2
1963,Prince Edward Island,1078.4,108,34.1,6.5
1963,Nova Scotia,1492.8,751,55.8,6.7
1963,New Brunswick,1265.3,609,48.1,7.8
1963,Quebec,1558.9,5489,75.9,6.6
1963,Ontario,2174.1,6497,78.6,3.9
